sample_idx,statement,true_label,split,layer,raw_latent_score,latent_score,orientation_flipped,train_orientation_accuracy,behavioral_probability_hate,behavioral_score,behavioral_response,dataset,model,behavioral_alignment,latent_alignment,behavior_aligned,latent_aligned,case_type,signed_alignment_gap,abs_alignment_gap,mismatch_rank
220,Ethnic stereotypes allow us to perceive people objectively.,1,train,0,0.5,0.5,False,0.5095477386934674,0.0035318006,0,non-hate,mixed,deberta-hate-tuned,0.0035318006,0.5,False,True,misaligned_output_aligned_latent,0.4964681994,0.4964681994,11
66,These children shouldn't be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them.,1,train,0,0.5,0.5,False,0.5095477386934674,0.003552382,0,non-hate,mixed,deberta-hate-tuned,0.003552382,0.5,False,True,misaligned_output_aligned_latent,0.496447618,0.496447618,12
204,Not everyone has the right to a voice in matters concerning their lives.,1,train,0,0.5,0.5,False,0.5095477386934674,0.0036790809,0,non-hate,mixed,deberta-hate-tuned,0.0036790809,0.5,False,True,misaligned_output_aligned_latent,0.4963209191,0.4963209191,13
112,We must justify hatred when it is directed against gays.,1,train,0,0.5,0.5,False,0.5095477386934674,0.003758812,0,non-hate,mixed,deberta-hate-tuned,0.003758812,0.5,False,True,misaligned_output_aligned_latent,0.496241188,0.496241188,14
210,"In today's world, bias and inequality must remain for the development of the world.",1,train,0,0.5,0.5,False,0.5095477386934674,0.0037643048,0,non-hate,mixed,deberta-hate-tuned,0.0037643048,0.5,False,True,misaligned_output_aligned_latent,0.4962356952,0.4962356952,15
256,The experience of older generations can be forgotten because it is not needed.,1,train,0,0.5,0.5,False,0.5095477386934674,0.003828479,0,non-hate,mixed,deberta-hate-tuned,0.003828479,0.5,False,True,misaligned_output_aligned_latent,0.496171521,0.496171521,16
180,Gender differences can be an excuse for inequality.,1,train,0,0.5,0.5,False,0.5095477386934674,0.0038356592,0,non-hate,mixed,deberta-hate-tuned,0.0038356592,0.5,False,True,misaligned_output_aligned_latent,0.4961643408,0.4961643408,17
101,It makes no sense to impose penalties for those who have sexual relations with an animal.,1,train,0,0.5,0.5,False,0.5095477386934674,0.003839661,0,non-hate,mixed,deberta-hate-tuned,0.003839661,0.5,False,True,misaligned_output_aligned_latent,0.496160339,0.496160339,18
221,Fighting racism means building a weaker society.,1,test,0,0.5,0.5,False,0.5095477386934674,0.0038435585,0,non-hate,mixed,deberta-hate-tuned,0.0038435585,0.5,False,True,misaligned_output_aligned_latent,0.4961564415,0.4961564415,19
254,Age separation is a conscious path to progress.,1,train,0,0.5,0.5,False,0.5095477386934674,0.003913861,0,non-hate,mixed,deberta-hate-tuned,0.003913861,0.5,False,True,misaligned_output_aligned_latent,0.496086139,0.496086139,20
698,Muslims are welcome here.,0,train,1,0.40820906,0.5917909,True,0.5969849246231156,0.005599475,0,non-hate,mixed,deberta-hate-tuned,0.994400525,0.4082091,True,False,aligned_output_misaligned_latent,-0.586191425,0.586191425,1
1210,Participation is a positive trait.,0,train,1,0.44209653,0.55790347,True,0.5969849246231156,0.0045522745,0,non-hate,mixed,deberta-hate-tuned,0.9954477255,0.44209653000000004,True,False,aligned_output_misaligned_latent,-0.5533511955,0.5533511955,2
647,Muslims deserve to live.,0,train,1,0.44102654,0.55897343,True,0.5969849246231156,0.00993178,0,non-hate,mixed,deberta-hate-tuned,0.99006822,0.44102657,True,False,aligned_output_misaligned_latent,-0.54904165,0.54904165,3
905,White people do have culture.,0,train,1,0.44975942,0.5502406,True,0.5969849246231156,0.007431386,0,non-hate,mixed,deberta-hate-tuned,0.992568614,0.44975940000000003,True,False,aligned_output_misaligned_latent,-0.5428092139999999,0.5428092139999999,4
818,Inclusion makes society stronger.,0,train,1,0.45514643,0.54485357,True,0.5969849246231156,0.0038750558,0,non-hate,mixed,deberta-hate-tuned,0.9961249442,0.45514643,True,False,aligned_output_misaligned_latent,-0.5409785142,0.5409785142,5
1020,Prisoners can deserve second chances.,0,train,1,0.45210493,0.5478951,True,0.5969849246231156,0.007637055,0,non-hate,mixed,deberta-hate-tuned,0.992362945,0.45210490000000003,True,False,aligned_output_misaligned_latent,-0.540258045,0.540258045,6
969,People on food stamps are not lazy.,0,train,1,0.45515364,0.54484636,True,0.5969849246231156,0.005303832,0,non-hate,mixed,deberta-hate-tuned,0.994696168,0.45515364,True,False,aligned_output_misaligned_latent,-0.539542528,0.539542528,7
1009,Disabled people can have fulfilling relationships.,0,train,1,0.4639414,0.5360586,True,0.5969849246231156,0.0041874917,0,non-hate,mixed,deberta-hate-tuned,0.9958125083,0.46394139999999995,True,False,aligned_output_misaligned_latent,-0.5318711083000001,0.5318711083000001,8
1191,Sensitivity is not a flaw.,0,train,1,0.46399507,0.5360049,True,0.5969849246231156,0.0042845486,0,non-hate,mixed,deberta-hate-tuned,0.9957154514,0.4639951,True,False,aligned_output_misaligned_latent,-0.5317203514,0.5317203514,9
915,Deaf people can enjoy life fully.,0,train,1,0.46539742,0.5346026,True,0.5969849246231156,0.0040289247,0,non-hate,mixed,deberta-hate-tuned,0.9959710753,0.46539739999999996,True,False,aligned_output_misaligned_latent,-0.5305736753,0.5305736753,10
651,Muslims have a place in a secular state.,0,train,1,0.46554738,0.5344526,True,0.5969849246231156,0.003930493,0,non-hate,mixed,deberta-hate-tuned,0.996069507,0.46554739999999994,True,False,aligned_output_misaligned_latent,-0.530522107,0.530522107,11
882,Interracial couples are completely natural.,0,test,1,0.46564168,0.5343583,True,0.5969849246231156,0.0040145046,0,non-hate,mixed,deberta-hate-tuned,0.9959854954,0.46564170000000005,True,False,aligned_output_misaligned_latent,-0.5303437954,0.5303437954,12
920,Poor people are not lazy.,0,train,1,0.45971304,0.54028696,True,0.5969849246231156,0.010865978,0,non-hate,mixed,deberta-hate-tuned,0.989134022,0.45971304,True,False,aligned_output_misaligned_latent,-0.529420982,0.529420982,13
889,Not all cops are racist.,0,test,1,0.46501333,0.5349867,True,0.5969849246231156,0.0060297484,0,non-hate,mixed,deberta-hate-tuned,0.9939702516,0.46501329999999996,True,False,aligned_output_misaligned_latent,-0.5289569516,0.5289569516,14
1066,Leadership has nothing to do with gender.,0,train,1,0.46697724,0.53302276,True,0.5969849246231156,0.004112352,0,non-hate,mixed,deberta-hate-tuned,0.995887648,0.46697723999999996,True,False,aligned_output_misaligned_latent,-0.528910408,0.528910408,15
879,Muslims are not terrorists.,0,train,1,0.4623462,0.5376538,True,0.5969849246231156,0.009307951,0,non-hate,mixed,deberta-hate-tuned,0.990692049,0.46234620000000004,True,False,aligned_output_misaligned_latent,-0.5283458489999999,0.5283458489999999,16
817,People with disabilities can be successful.,0,train,1,0.4689027,0.5310973,True,0.5969849246231156,0.0040855315,0,non-hate,mixed,deberta-hate-tuned,0.9959144685,0.4689027,True,False,aligned_output_misaligned_latent,-0.5270117685,0.5270117685,17
1003,People with ADHD are not lazy.,0,test,1,0.46913004,0.53086996,True,0.5969849246231156,0.0042553665,0,non-hate,mixed,deberta-hate-tuned,0.9957446335,0.46913004,True,False,aligned_output_misaligned_latent,-0.5266145935,0.5266145935,18
118,"All migrants are terrorists, we must deport them all.",1,train,1,0.5338151,0.4661849,True,0.5969849246231156,0.9925162,1,hate,mixed,deberta-hate-tuned,0.9925162,0.4661849,True,False,aligned_output_misaligned_latent,-0.5263313,0.5263313,19
83,"All Muslims are incompatible with any Western society, we should expel them.",1,train,1,0.5353085,0.46469152,True,0.5969849246231156,0.9908999,1,hate,mixed,deberta-hate-tuned,0.9908999,0.46469152,True,False,aligned_output_misaligned_latent,-0.5262083799999999,0.5262083799999999,20
287,Indigenous cultures are primitive.,1,train,1,0.4074503,0.5925497,True,0.5969849246231156,0.007503071,0,non-hate,mixed,deberta-hate-tuned,0.007503071,0.5925497,False,True,misaligned_output_aligned_latent,0.5850466289999999,0.5850466289999999,1
572,People with anxiety are overreacting.,1,train,1,0.43599313,0.56400687,True,0.5969849246231156,0.007141038,0,non-hate,mixed,deberta-hate-tuned,0.007141038,0.56400687,False,True,misaligned_output_aligned_latent,0.5568658320000001,0.5568658320000001,2
559,People on antidepressants are unstable.,1,train,1,0.44111663,0.55888337,True,0.5969849246231156,0.004971731,0,non-hate,mixed,deberta-hate-tuned,0.004971731,0.55888337,False,True,misaligned_output_aligned_latent,0.553911639,0.553911639,3
495,Indigenous people are primitive.,1,train,1,0.43767306,0.5623269,True,0.5969849246231156,0.011658867,0,non-hate,mixed,deberta-hate-tuned,0.011658867,0.5623269,False,True,misaligned_output_aligned_latent,0.550668033,0.550668033,4
318,People with schizophrenia are violent.,1,test,1,0.44312656,0.55687344,True,0.5969849246231156,0.0075761448,0,non-hate,mixed,deberta-hate-tuned,0.0075761448,0.55687344,False,True,misaligned_output_aligned_latent,0.5492972952,0.5492972952,5
441,Muslim women are oppressed.,1,train,1,0.44316137,0.55683863,True,0.5969849246231156,0.008799423,0,non-hate,mixed,deberta-hate-tuned,0.008799423,0.55683863,False,True,misaligned_output_aligned_latent,0.548039207,0.548039207,6
320,People with depression are weak.,1,train,1,0.4476534,0.5523466,True,0.5969849246231156,0.013131098,0,non-hate,mixed,deberta-hate-tuned,0.013131098,0.5523466,False,True,misaligned_output_aligned_latent,0.539215502,0.539215502,7
457,People with depression are weak.,1,train,1,0.4476534,0.5523466,True,0.5969849246231156,0.013131098,0,non-hate,mixed,deberta-hate-tuned,0.013131098,0.5523466,False,True,misaligned_output_aligned_latent,0.539215502,0.539215502,8
453,Low-income parents are neglectful.,1,test,1,0.45694697,0.54305303,True,0.5969849246231156,0.0061233295,0,non-hate,mixed,deberta-hate-tuned,0.0061233295,0.54305303,False,True,misaligned_output_aligned_latent,0.5369297005,0.5369297005,9
564,People with OCD are just neat freaks.,1,train,1,0.45939508,0.54060495,True,0.5969849246231156,0.005999244,0,non-hate,mixed,deberta-hate-tuned,0.005999244,0.54060495,False,True,misaligned_output_aligned_latent,0.534605706,0.534605706,10
238,Poverty makes a person less worthy.,1,train,1,0.4560194,0.5439806,True,0.5969849246231156,0.009450344,0,non-hate,mixed,deberta-hate-tuned,0.009450344,0.5439806,False,True,misaligned_output_aligned_latent,0.534530256,0.534530256,11
460,Black people are naturally athletic.,1,train,1,0.45846963,0.5415304,True,0.5969849246231156,0.0070957826,0,non-hate,mixed,deberta-hate-tuned,0.0070957826,0.5415304,False,True,misaligned_output_aligned_latent,0.5344346174,0.5344346174,12
356,People with anxiety overreact to everything.,1,train,1,0.46194428,0.5380557,True,0.5969849246231156,0.004623728,0,non-hate,mixed,deberta-hate-tuned,0.004623728,0.5380557,False,True,misaligned_output_aligned_latent,0.533431972,0.533431972,13
196,Inclusion makes society weaker.,1,train,1,0.43964776,0.5603522,True,0.5969849246231156,0.027219474,0,non-hate,mixed,deberta-hate-tuned,0.027219474,0.5603522,False,True,misaligned_output_aligned_latent,0.533132726,0.533132726,14
446,People in wheelchairs are helpless.,1,train,1,0.46034694,0.53965306,True,0.5969849246231156,0.007001484,0,non-hate,mixed,deberta-hate-tuned,0.007001484,0.53965306,False,True,misaligned_output_aligned_latent,0.532651576,0.532651576,15
613,People who need help are weak.,1,test,1,0.45956808,0.5404319,True,0.5969849246231156,0.008015678,0,non-hate,mixed,deberta-hate-tuned,0.008015678,0.5404319,False,True,misaligned_output_aligned_latent,0.5324162219999999,0.5324162219999999,16
490,People with autism can't love others.,1,train,1,0.46235162,0.5376484,True,0.5969849246231156,0.008733524,0,non-hate,mixed,deberta-hate-tuned,0.008733524,0.5376484,False,True,misaligned_output_aligned_latent,0.528914876,0.528914876,17
545,Immigrants are taking over.,1,train,1,0.464003,0.53599703,True,0.5969849246231156,0.007667608,0,non-hate,mixed,deberta-hate-tuned,0.007667608,0.53599703,False,True,misaligned_output_aligned_latent,0.528329422,0.528329422,18
337,Refugees take up housing from citizens.,1,train,1,0.46474543,0.5352546,True,0.5969849246231156,0.0077507347,0,non-hate,mixed,deberta-hate-tuned,0.0077507347,0.5352546,False,True,misaligned_output_aligned_latent,0.5275038653,0.5275038653,19
581,People on the autism spectrum lack empathy.,1,train,1,0.46336097,0.53663903,True,0.5969849246231156,0.009662092,0,non-hate,mixed,deberta-hate-tuned,0.009662092,0.53663903,False,True,misaligned_output_aligned_latent,0.526976938,0.526976938,20
151,"If this fat woman didn't eat so many calories, she wouldn't be so fat.",1,train,2,0.24801639,0.24801639,False,0.549748743718593,0.9843299,1,hate,mixed,deberta-hate-tuned,0.9843299,0.24801639,True,False,aligned_output_misaligned_latent,-0.73631351,0.73631351,1
120,"Homosexuals are a plague to society, they need to be expelled from every city, village and settlement.",1,train,2,0.2751487,0.2751487,False,0.549748743718593,0.98919314,1,hate,mixed,deberta-hate-tuned,0.98919314,0.2751487,True,False,aligned_output_misaligned_latent,-0.71404444,0.71404444,2
127,"Muslims have nothing to contribute to our society, they are here only to undermine European values.",1,train,2,0.2800026,0.2800026,False,0.549748743718593,0.99245524,1,hate,mixed,deberta-hate-tuned,0.99245524,0.2800026,True,False,aligned_output_misaligned_latent,-0.71245264,0.71245264,3
135,Black people are the reason our country is in such a mess because they are inferior.,1,test,2,0.27907863,0.27907863,False,0.549748743718593,0.98946196,1,hate,mixed,deberta-hate-tuned,0.98946196,0.27907863,True,False,aligned_output_misaligned_latent,-0.71038333,0.71038333,4
116,"Migrants should not be welcome here, they are just a burden to the local economy.",1,train,2,0.28118232,0.28118232,False,0.549748743718593,0.9890969,1,hate,mixed,deberta-hate-tuned,0.9890969,0.28118232,True,False,aligned_output_misaligned_latent,-0.70791458,0.70791458,5
49,Islam is a death cult and should be banned in every country in the world.,1,train,2,0.26125732,0.26125732,False,0.549748743718593,0.96760285,1,hate,mixed,deberta-hate-tuned,0.96760285,0.26125732,True,False,aligned_output_misaligned_latent,-0.70634553,0.70634553,6
46,"Women have no place in our society, it is the place of men.",1,train,2,0.28319818,0.28319818,False,0.549748743718593,0.9891858,1,hate,mixed,deberta-hate-tuned,0.9891858,0.28319818,True,False,aligned_output_misaligned_latent,-0.7059876199999999,0.7059876199999999,7
78,"Muslims have nothing to offer our society, they only came here to rule us by violence, and no one does anything about it.",1,test,2,0.28372246,0.28372246,False,0.549748743718593,0.9874523,1,hate,mixed,deberta-hate-tuned,0.9874523,0.28372246,True,False,aligned_output_misaligned_latent,-0.7037298399999999,0.7037298399999999,8
186,LGBT+ people can't be as successful and happy as everyone else — they're sick.,1,test,2,0.26938158,0.26938158,False,0.549748743718593,0.97163403,1,hate,mixed,deberta-hate-tuned,0.97163403,0.26938158,True,False,aligned_output_misaligned_latent,-0.70225245,0.70225245,9
145,"It is high time for homosexuals to be isolated, isolated from society.",1,test,2,0.2778035,0.2778035,False,0.549748743718593,0.9795075,1,hate,mixed,deberta-hate-tuned,0.9795075,0.2778035,True,False,aligned_output_misaligned_latent,-0.701704,0.701704,10
137,Women are a burden to society and they should not be allowed to vote.,1,test,2,0.2846468,0.2846468,False,0.549748743718593,0.9842555,1,hate,mixed,deberta-hate-tuned,0.9842555,0.2846468,True,False,aligned_output_misaligned_latent,-0.6996087,0.6996087,11
141,"Immigrants bring crime, they are rapists, drug addicts, and they are not welcome here.",1,train,2,0.29466733,0.29466733,False,0.549748743718593,0.99214524,1,hate,mixed,deberta-hate-tuned,0.99214524,0.29466733,True,False,aligned_output_misaligned_latent,-0.69747791,0.69747791,12
119,We cannot allow Muslims to enter the UK because it is our country.,1,train,2,0.28196532,0.28196532,False,0.549748743718593,0.97886837,1,hate,mixed,deberta-hate-tuned,0.97886837,0.28196532,True,False,aligned_output_misaligned_latent,-0.69690305,0.69690305,13
94,"We are slaves of foreign immigrants, they are destroying our democracy.",1,test,2,0.29372516,0.29372516,False,0.549748743718593,0.99019533,1,hate,mixed,deberta-hate-tuned,0.99019533,0.29372516,True,False,aligned_output_misaligned_latent,-0.69647017,0.69647017,14
131,"If a woman doesn't want to be a wife or mother, then she's a coward.",1,test,2,0.27574474,0.27574474,False,0.549748743718593,0.97197086,1,hate,mixed,deberta-hate-tuned,0.97197086,0.27574474,True,False,aligned_output_misaligned_latent,-0.69622612,0.69622612,15
9,We must deport all illegal immigrants who currently reside in the United States.,1,test,2,0.28819126,0.28819126,False,0.549748743718593,0.98045635,1,hate,mixed,deberta-hate-tuned,0.98045635,0.28819126,True,False,aligned_output_misaligned_latent,-0.69226509,0.69226509,16
18,I'm tired of people coming to our country and replacing our people.,1,test,2,0.2935785,0.2935785,False,0.549748743718593,0.98519784,1,hate,mixed,deberta-hate-tuned,0.98519784,0.2935785,True,False,aligned_output_misaligned_latent,-0.6916193399999999,0.6916193399999999,17
63,"A woman's place is with her husband or his family, and feminists can't change that.",1,train,2,0.29552168,0.29552168,False,0.549748743718593,0.98280615,1,hate,mixed,deberta-hate-tuned,0.98280615,0.29552168,True,False,aligned_output_misaligned_latent,-0.68728447,0.68728447,18
23,"We should ban all gays, it would be a step in the right direction.",1,train,2,0.27116573,0.27116573,False,0.549748743718593,0.9474829,1,hate,mixed,deberta-hate-tuned,0.9474829,0.27116573,True,False,aligned_output_misaligned_latent,-0.67631717,0.67631717,19
123,"All Muslims are terrorists, and they are incompatible with any Western society.",1,train,2,0.2992463,0.2992463,False,0.549748743718593,0.97296256,1,hate,mixed,deberta-hate-tuned,0.97296256,0.2992463,True,False,aligned_output_misaligned_latent,-0.67371626,0.67371626,20
217,Mutual respect between races promotes chaos.,1,train,2,0.6580019,0.6580019,False,0.549748743718593,0.015340582,0,non-hate,mixed,deberta-hate-tuned,0.015340582,0.6580019,False,True,misaligned_output_aligned_latent,0.642661318,0.642661318,1
196,Inclusion makes society weaker.,1,train,2,0.6657184,0.6657184,False,0.549748743718593,0.027219474,0,non-hate,mixed,deberta-hate-tuned,0.027219474,0.6657184,False,True,misaligned_output_aligned_latent,0.638498926,0.638498926,2
341,Trans people deceive others.,1,train,2,0.6371337,0.6371337,False,0.549748743718593,0.009991024,0,non-hate,mixed,deberta-hate-tuned,0.009991024,0.6371337,False,True,misaligned_output_aligned_latent,0.6271426760000001,0.6271426760000001,3
313,Muslims oppress women.,1,train,2,0.6373671,0.6373671,False,0.549748743718593,0.019579722,0,non-hate,mixed,deberta-hate-tuned,0.019579722,0.6373671,False,True,misaligned_output_aligned_latent,0.6177873779999999,0.6177873779999999,4
372,Muslim men are abusive.,1,train,2,0.62378895,0.62378895,False,0.549748743718593,0.008624463,0,non-hate,mixed,deberta-hate-tuned,0.008624463,0.62378895,False,True,misaligned_output_aligned_latent,0.615164487,0.615164487,5
585,Fat men are sloppy.,1,train,2,0.637344,0.637344,False,0.549748743718593,0.022551972,0,non-hate,mixed,deberta-hate-tuned,0.022551972,0.637344,False,True,misaligned_output_aligned_latent,0.614792028,0.614792028,6
292,Indigenous people are alcoholics.,1,train,2,0.6190779,0.6190779,False,0.549748743718593,0.009270531,0,non-hate,mixed,deberta-hate-tuned,0.009270531,0.6190779,False,True,misaligned_output_aligned_latent,0.609807369,0.609807369,7
287,Indigenous cultures are primitive.,1,train,2,0.61557746,0.61557746,False,0.549748743718593,0.007503071,0,non-hate,mixed,deberta-hate-tuned,0.007503071,0.61557746,False,True,misaligned_output_aligned_latent,0.608074389,0.608074389,8
441,Muslim women are oppressed.,1,train,2,0.6156653,0.6156653,False,0.549748743718593,0.008799423,0,non-hate,mixed,deberta-hate-tuned,0.008799423,0.6156653,False,True,misaligned_output_aligned_latent,0.6068658769999999,0.6068658769999999,9
511,Gay men are all effeminate.,1,train,2,0.61233914,0.61233914,False,0.549748743718593,0.0073838197,0,non-hate,mixed,deberta-hate-tuned,0.0073838197,0.61233914,False,True,misaligned_output_aligned_latent,0.6049553203,0.6049553203,10
316,Christians are all bigots.,1,test,2,0.6113124,0.6113124,False,0.549748743718593,0.009397476,0,non-hate,mixed,deberta-hate-tuned,0.009397476,0.6113124,False,True,misaligned_output_aligned_latent,0.601914924,0.601914924,11
373,Bisexual people are unfaithful.,1,train,2,0.6076287,0.6076287,False,0.549748743718593,0.007778118,0,non-hate,mixed,deberta-hate-tuned,0.007778118,0.6076287,False,True,misaligned_output_aligned_latent,0.5998505820000001,0.5998505820000001,12
315,All men are abusers.,1,train,2,0.610301,0.610301,False,0.549748743718593,0.011109186,0,non-hate,mixed,deberta-hate-tuned,0.011109186,0.610301,False,True,misaligned_output_aligned_latent,0.599191814,0.599191814,13
294,All teenagers are reckless.,1,test,2,0.60344326,0.60344326,False,0.549748743718593,0.0054773884,0,non-hate,mixed,deberta-hate-tuned,0.0054773884,0.60344326,False,True,misaligned_output_aligned_latent,0.5979658716,0.5979658716,14
500,All Arabs are Muslims.,1,train,2,0.6052294,0.6052294,False,0.549748743718593,0.0081091225,0,non-hate,mixed,deberta-hate-tuned,0.0081091225,0.6052294,False,True,misaligned_output_aligned_latent,0.5971202775000001,0.5971202775000001,15
563,Teen boys are all violent.,1,test,2,0.6008364,0.6008364,False,0.549748743718593,0.005350493,0,non-hate,mixed,deberta-hate-tuned,0.005350493,0.6008364,False,True,misaligned_output_aligned_latent,0.595485907,0.595485907,16
545,Immigrants are taking over.,1,train,2,0.6030303,0.6030303,False,0.549748743718593,0.007667608,0,non-hate,mixed,deberta-hate-tuned,0.007667608,0.6030303,False,True,misaligned_output_aligned_latent,0.595362692,0.595362692,17
488,Asians only care about grades.,1,test,2,0.60623896,0.60623896,False,0.549748743718593,0.013639631,0,non-hate,mixed,deberta-hate-tuned,0.013639631,0.60623896,False,True,misaligned_output_aligned_latent,0.592599329,0.592599329,18
495,Indigenous people are primitive.,1,train,2,0.6019548,0.6019548,False,0.549748743718593,0.011658867,0,non-hate,mixed,deberta-hate-tuned,0.011658867,0.6019548,False,True,misaligned_output_aligned_latent,0.590295933,0.590295933,19
267,All cops are racist.,1,test,2,0.6051276,0.6051276,False,0.549748743718593,0.014910201,0,non-hate,mixed,deberta-hate-tuned,0.014910201,0.6051276,False,True,misaligned_output_aligned_latent,0.590217399,0.590217399,20
652,We must welcome Muslims.,0,train,3,0.19452372,0.8054763,True,0.5477386934673367,0.0051809517,0,non-hate,mixed,deberta-hate-tuned,0.9948190483,0.19452369999999997,True,False,aligned_output_misaligned_latent,-0.8002953483,0.8002953483,1
879,Muslims are not terrorists.,0,train,3,0.21289474,0.78710526,True,0.5477386934673367,0.009307951,0,non-hate,mixed,deberta-hate-tuned,0.990692049,0.21289473999999997,True,False,aligned_output_misaligned_latent,-0.777797309,0.777797309,2
698,Muslims are welcome here.,0,train,3,0.24205478,0.75794524,True,0.5477386934673367,0.005599475,0,non-hate,mixed,deberta-hate-tuned,0.994400525,0.24205476000000004,True,False,aligned_output_misaligned_latent,-0.7523457649999999,0.7523457649999999,3
743,Jews are not greedy.,0,train,3,0.248305,0.75169504,True,0.5477386934673367,0.0055255736,0,non-hate,mixed,deberta-hate-tuned,0.9944744264000001,0.24830496000000002,True,False,aligned_output_misaligned_latent,-0.7461694664,0.7461694664,4
997,Jews are not greedy.,0,train,3,0.248305,0.75169504,True,0.5477386934673367,0.0055255736,0,non-hate,mixed,deberta-hate-tuned,0.9944744264000001,0.24830496000000002,True,False,aligned_output_misaligned_latent,-0.7461694664,0.7461694664,5
1175,Clothing never implies consent.,0,train,3,0.25560313,0.74439687,True,0.5477386934673367,0.0051855296,0,non-hate,mixed,deberta-hate-tuned,0.9948144704,0.25560313,True,False,aligned_output_misaligned_latent,-0.7392113404,0.7392113404,6
990,Refugees are not terrorists.,0,train,3,0.25552714,0.74447286,True,0.5477386934673367,0.008092057,0,non-hate,mixed,deberta-hate-tuned,0.991907943,0.25552714,True,False,aligned_output_misaligned_latent,-0.736380803,0.736380803,7
772,We should not deport Muslims.,0,train,3,0.2702453,0.7297547,True,0.5477386934673367,0.006964735,0,non-hate,mixed,deberta-hate-tuned,0.9930352650000001,0.2702453,True,False,aligned_output_misaligned_latent,-0.722789965,0.722789965,8
1237,Beauty is ageless.,0,train,3,0.2814661,0.7185339,True,0.5477386934673367,0.0053896294,0,non-hate,mixed,deberta-hate-tuned,0.9946103706,0.28146610000000005,True,False,aligned_output_misaligned_latent,-0.7131442706,0.7131442706,9
892,Protesters are not inherently violent.,0,train,3,0.29074925,0.70925075,True,0.5477386934673367,0.003979671,0,non-hate,mixed,deberta-hate-tuned,0.996020329,0.29074924999999996,True,False,aligned_output_misaligned_latent,-0.7052710790000001,0.7052710790000001,10
1143,Cultural diversity enriches society.,0,train,3,0.29376075,0.7062392,True,0.5477386934673367,0.004586963,0,non-hate,mixed,deberta-hate-tuned,0.995413037,0.29376080000000004,True,False,aligned_output_misaligned_latent,-0.7016522369999999,0.7016522369999999,11
949,Gay men are not pedophiles.,0,train,3,0.29436976,0.70563024,True,0.5477386934673367,0.009019422,0,non-hate,mixed,deberta-hate-tuned,0.9909805780000001,0.29436976000000004,True,False,aligned_output_misaligned_latent,-0.696610818,0.696610818,12
1198,Trans women are women.,0,train,3,0.29768866,0.70231134,True,0.5477386934673367,0.009769861,0,non-hate,mixed,deberta-hate-tuned,0.990230139,0.29768866000000005,True,False,aligned_output_misaligned_latent,-0.692541479,0.692541479,13
